Name;MP;Region;County Area;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Aldershot;Gerald Howarth;19;Hampshire;71469;21203;5489;15617;2041;0;0;0;1034
Aldridge-Brownhills;Richard Shepherd;9;Black Country;59355;22913;7647;6833;0;847;0;0;394
Altrincham and Sale West;Graham Brady;6;Central Manchester;71254;24176;11073;12581;1563;0;0;0;0
Amber Valley;Nigel Mills;10;Derbyshire;70171;17746;17210;6636;906;0;0;3195;265
Arundel and South Downs;Nick Herbert;20;West Sussex;77564;32333;4835;15642;3172;0;0;0;0
Ashfield;Gloria de Piero;10;Nottinghamshire;77379;10698;16239;16047;933;0;0;2781;1498
Ashford;Damian Green;20;Kent;81269;29878;9204;12581;2508;1014;0;0;0
Ashton under Lyne;David Heyes;6;Eastern Manchester;67564;9510;18604;5703;1686;0;0;2929;0
Aylesbury;David Lidington;14;Buckinghamshire;77934;27736;6695;15118;3613;0;0;0;0
Banbury;Tony Baldry;15;Oxfordshire;86986;29703;10773;11476;2806;959;0;0;524
Barking;Margaret Hodge;16;Barking and Dagenham;73864;8073;24628;3719;1300;317;0;6620;686
Barnsley Central;Eric Illsley;8;South Yorkshire;65543;6388;17487;6394;1727;0;0;3307;1698
Barnsley East;Michael Dugher;8;South Yorkshire;68435;6329;18059;6969;1731;0;0;3301;1997
Barrow and Furness;John Woodcock;4;Cumbria;68758;16018;21226;4424;841;530;0;0;1085
Basildon and Billericay;John Baron;14;Essex;65482;21922;9584;6538;1591;0;0;1934;0
Basildon South and East Thurrock;Stephen Metcalfe;14;Essex;71815;19624;13852;5977;2639;0;0;0;2643
Basingstoke;Maria Miller;19;Hampshire;75470;25590;10327;12414;2076;0;0;0;247
Bassetlaw;John Mann;10;Nottinghamshire;76542;16803;25018;5570;1779;0;0;0;407
Bath;Don Foster;15;Bristol area;65603;14768;3251;26651;890;1120;0;0;406
Batley and Spen;Mike Wood;7;West Yorkshire;76732;17159;21565;8095;0;605;0;3685;0
Battersea;Jane Ellison;17;Wandsworth;74300;23103;17126;7176;505;559;0;0;323
Beaconsfield;Dominic Grieve;14;Buckinghamshire;74982;32053;6135;10271;2597;768;0;0;666
Beckenham;Bob Stewart;17;Bromley;66219;27597;6893;9813;1551;608;0;0;1224
Bedford;Richard Fuller;13;Bedfordshire;68491;17546;16193;8957;1136;393;0;0;877
Bedfordshire Mid;Nadine Dorries;13;Bedfordshire;76023;28815;8108;13663;2826;773;0;0;712
Bedfordshire North East;Alistair Burt;13;Bedfordshire;78060;30989;8957;12047;2294;0;0;0;1265
Bedfordshire South West;Andrew Selous;13;Bedfordshire;76559;26815;9948;10166;2142;0;0;0;1703
Bermondsey and Old Southwark;Simon Hughes;17;Southwark;77623;7638;13060;21590;0;718;0;0;1645
Berwick-upon-Tweed;Alan Beith;4;Northumberland;57403;14116;5061;16806;1243;0;0;0;1213
Bethnal Green and Bow;Rushanara Ali;16;Tower Hamlets;81243;7071;21784;10210;0;856;0;8532;2275
Beverley and Holderness;Graham Stuart;8;Humber area;79611;25063;11224;12076;1845;686;0;2080;225
Bexhill and Battle;Greg Barker;20;East Sussex;79208;28147;6524;15267;0;0;0;2699;1950
Bexleyheath and Crayford;David Evennett;17;Bexley;64985;21794;11450;5502;1557;371;0;0;2508
Birkenhead;Frank Field;5;Merseyside;62773;6687;22082;6554;0;0;0;0;0
Birmingham Edgbaston;Gisela Stuart;9;Birmingham;68573;15620;16894;6387;732;469;0;0;1469
Birmingham Erdington;Jack Dromey;9;Birmingham;66405;11592;14869;5742;842;0;0;0;2501
Birmingham Hall Green;Roger Godsiff;9;Birmingham;76580;7320;16039;11988;950;0;0;12240;190
Birmingham Hodge Hill;Liam Byrne;9;Birmingham;75040;4936;22077;11775;714;0;0;0;2970
Birmingham Ladywood;Shabana Mahmood;9;Birmingham;73646;4277;19950;9845;902;859;0;0;0
Birmingham Northfield;Richard Burden;9;Birmingham;71338;14059;16841;6550;1363;406;0;0;2595
Birmingham Perry Barr;Khalid Mahmood;9;Birmingham;71304;8960;21142;9234;1675;0;0;0;1034
Birmingham Selly Oak;Stephen McCabe;9;Birmingham;74805;14468;17950;10371;1131;664;0;0;1979
Birmingham Yardley;John Hemming;9;Birmingham;72321;7836;13160;16162;1190;0;0;0;2502
Bishop Auckland;Helen Goodman;4;Durham;68370;10805;16023;9189;1119;0;0;0;4000
Blackburn;Jack Straw;5;Lancashire;72331;11895;21751;6918;942;0;0;0;3993
Blackley and Broughton;Graham Stringer;6;Central Manchester;69489;6260;18563;4861;894;0;0;0;3626
Blackpool North and Cleveleys;Paul Maynard;5;Lancashire;65888;16964;14814;5400;1659;0;0;0;1754
Blackpool South;Gordon Marsden;5;Lancashire;63025;12597;14449;5082;1352;0;0;0;1712
Blaydon;David Anderson;4;Newcastle area;67808;7159;22297;13180;0;0;0;0;2277
Blyth Valley;Ronnie Campbell;4;Northumberland;64263;6412;17156;10488;1665;0;0;0;2845
Bognor Regis and Littlehampton;Nick Gibb;20;West Sussex;70812;24087;6580;11024;3036;0;0;0;2125
Bolsover;Dennis Skinner;10;Derbyshire;72766;10812;21994;6821;1721;0;0;0;2640
Bolton North East;David Crausby;6;Western Manchester;67281;15786;19870;5624;1815;0;0;0;182
Bolton South East;Yasmin Qureshi;6;Western Manchester;69928;10148;18782;6289;1564;614;0;0;2207
Bolton West;Julie Hilling;6;Western Manchester;71250;18235;18327;8177;1901;545;0;0;391
Bootle;Joe Benton;5;Merseyside;71426;3678;27426;6245;2514;0;0;0;1414
Boston and Skegness;Mark Simmonds;8;Lincolnshire;70529;21325;8899;6371;4081;0;0;0;2449
Bosworth;David Tredinnick;10;Leicestershire;77296;23132;8674;18100;1098;0;0;0;3270
Bournemouth East;Tobias Ellwood;18;Dorset;71125;21320;5836;13592;3027;0;0;0;249
Bournemouth West;Conor Burns;18;Dorset;71753;18808;6171;13225;2999;0;0;0;456
Bracknell;Phillip Lee;19;Berkshire;76885;27327;8755;11623;2297;825;0;0;1309
Bradford East;David Ward;7;West Yorkshire;65116;10860;13272;13637;0;0;0;0;2688
Bradford South;Gerry Sutcliffe;7;West Yorkshire;63580;11060;15682;6948;1339;0;0;0;2966
Bradford West;Marsha Singh;7;West Yorkshire;62519;12638;18401;4732;812;940;0;1370;1683
Braintree;Brooks Newmark;14;Essex;71162;25901;9780;9247;2477;718;0;0;1080
Brent Central;Sarah Teather;16;Brent;74076;5067;18681;20026;0;668;0;0;881
Brent North;Barry Gardiner;16;Brent;83896;16486;24514;8879;380;725;0;0;1314
Brentford and Isleworth;Mary Macleod;17;Hounslow;83546;20022;18064;12718;863;787;0;0;1311
Brentwood and Ongar;Eric Pickles;14;Essex;73224;28793;4992;11872;2037;584;0;0;2314
Bridgwater and West Somerset;Ian Liddell-Grainger;18;Somerset;76560;24675;9332;15426;2604;859;0;0;1597
Brigg and Goole;Andrew Percy;8;Humber area;67345;19680;14533;6414;1749;0;0;0;1498
Brighton Kemptown;Simon Kirby;20;East Sussex;66017;16217;14889;7691;1384;2330;0;0;194
Brighton Pavilion;Caroline Lucas;20;East Sussex;74004;12275;14986;7159;948;16238;0;0;228
Bristol East;Kerry McCarthy;15;Bristol area;69448;12749;16471;10993;1510;803;0;0;2491
Bristol North West;Charlotte Leslie;15;Bristol area;73469;19115;13059;15841;1175;511;0;0;635
Bristol South;Dawn Primarolo;15;Bristol area;78579;11086;18600;13866;1264;1216;0;0;2345
Bristol West;Stephen Williams;15;Bristol area;82728;10169;15227;26593;655;2090;0;0;613
Broadland;Keith Simpson;13;Norfolk;73168;24338;7287;17046;2382;752;0;0;871
Bromley and Chislehurst;Bob Neill;17;Bromley;65427;23569;7295;9669;1451;607;0;0;1446
Bromsgrove;Sajid Javid;11;Hereford and Worcestershire;73086;22558;11250;10124;2950;0;0;0;4748
Broxbourne;Charles Walker;14;Hertfordshire;71391;26844;8040;6107;1890;0;0;0;2777
Broxtowe;Anna Soubry;10;Nottinghamshire;72042;20585;20196;8907;1194;423;0;0;1422
Buckingham;John Bercow;14;Buckinghamshire;74996;22860;0;0;8401;0;0;10331;6743
Burnley;Gordon Birtwistle;5;Lancashire;66616;6950;13114;14932;929;0;0;3747;2173
Burton;Andrew Griffiths;11;Staffordshire;74874;22188;15884;7891;1451;0;0;0;2409
Bury North;David Nuttall;6;Western Manchester;66759;18070;15827;7645;1282;0;0;0;2137
