"Aircraft ID","ETMS Flight_Index","Unique Flight_ID","Date","Departure Airport","Departure Date (GMT)","Departure Time (GMT)","Arrival Airport","Arrival Date (GMT)","Arrival Time (GMT)","User Class","Aircraft Type"
"N368CE","32838","20020101978699","37257","LAS","20020101","0.94513888888889","OGG","20020102","0.23611111111111","General Aviation","B733"
"N375NW","28178","20020101978757","37257","VNY","20020101","0.82291666666667","LAS","20020101","0.85486111111111","General Aviation","GLF3"
"N375NW","27517","20020101978756","37257","LAS","20020101","0.92638888888889","TEB","20020102","0.10555555555556","General Aviation","GLF3"
"N5117H","196442","20020101980499","37257","MWCR","20020101","0.64722222222222","PBI","20020101","0.67430555555556","General Aviation","GLF2"
"N5117H","22169","20020101980497","37257","PBI","20020101","0.71527777777778","BED","20020101","0.81180555555556","General Aviation","G2"
"N5117H","24945","20020101980498","37257","BED","20020101","0.83194444444444","SCH","20020101","0.85277777777778","General Aviation","G2"
"N58AJ","11741","20020101981383","37257","BGR","20020101","0.87569444444444","FRG","20020101","0.92916666666667","General Aviation","GLF3"
"N63MU","39491","20020101982004","37257","GJT","20020101","0.98055555555556","ABQ","20020102","0.0076388888888889","General Aviation","GLF4"
"N727NK","174649","20020101982963","37257","IND","20020101","0.16944444444444","MIA","20020101","0.25763888888889","General Aviation","B722"
"N776MA","17970","20020101983516","37257","BCT","20020101","0.66666666666667","MTN","20020101","0.74236111111111","General Aviation","GLF2"
"N789DK","17908","20020101983698","37257","DAL","20020101","0.81944444444444","ASE","20020101","0.89305555555556","General Aviation","GLF4"
"N789DK","31161","20020101983700","37257","DAL","20020101","0.81944444444444","GJT","20020101","0.89930555555556","General Aviation","GLF4"
"N982RK","19605","20020101985647","37257","RIL","20020101","0.8","ASE","20020101","0.81597222222222","General Aviation","G3"
"N982RK","19606","20020101985648","37257","ASE","20020101","0.84097222222222","GSO","20020101","0.95555555555556","General Aviation","GLF3"
"N982RK","33799","20020101985652","37257","GSO","20020101","0.98055555555556","TEB","20020102","0.021527777777778","General Aviation","G3"
"N987SA","21135","20020101985679","37257","EGE","20020101","0.81597222222222","FRG","20020101","0.95833333333333","General Aviation","GLF2"
"N1454","217543","20020102044268","37258","TTN","20020102","0.60208333333333","MYNN","20020102","0.71180555555556","General Aviation","GLF3"
"N1454","233430","20020102044269","37258","MYNN","20020102","0.78541666666667","TEB","20020102","0.88472222222222","General Aviation","GLF3"
"N1454","236191","20020102044270","37258","TEB","20020102","0.90138888888889","TTN","20020102","0.9125","General Aviation","GLF3"
"N368CE","4603","20020102048182","37258","OGG","20020102","0.98333333333333","VNY","20020103","0.17291666666667","General Aviation","B733"
"N379P","2275","20020102048306","37258","JNX","20020102","0.98680555555556","IAD","20020103","0.013888888888889","General Aviation","G5"
"N50BH","53634","20020102050447","37258","BRO","20020102","0.12777777777778","HPN","20020102","0.25416666666667","General Aviation","GLF3"
